Date,Value
2016-01-04,2.345
2016-01-05,2.3463
2016-01-06,2.33
2016-01-07,2.3326
2016-01-08,2.29
2016-01-11,2.25
2016-01-12,2.22
2016-01-13,2.204
2016-01-14,2.2344
2016-01-15,2.24
2016-01-18,2.265
2016-01-19,2.271
2016-01-20,2.28
2016-01-21,2.28
2016-01-22,2.3
2016-01-25,2.325
2016-01-26,2.32
2016-01-27,2.35
2016-01-28,2.32
2016-01-29,2.28
2016-02-01,2.2901
2016-02-02,2.37
2016-02-03,2.325
2016-02-04,2.2975
2016-02-05,2.29
2016-02-15,2.3
2016-02-16,2.32
2016-02-17,2.32
2016-02-18,2.29
2016-02-19,2.3
2016-02-22,2.3
2016-02-23,2.3075
2016-02-24,2.3082
2016-02-25,2.33
2016-02-26,2.3
2016-02-29,2.3
2016-03-01,2.3
2016-03-02,2.3
2016-03-03,2.305
2016-03-04,2.305
2016-03-07,2.315
2016-03-08,2.32
2016-03-09,2.295
2016-03-10,2.2826
2016-03-11,2.28
2016-03-14,2.29
2016-03-15,2.2887
2016-03-16,2.265
2016-03-17,2.275
2016-03-18,2.2726
2016-03-21,2.28
2016-03-22,2.2766
2016-03-23,2.29
2016-03-24,2.285
2016-03-25,2.295
2016-03-28,2.31
2016-03-29,2.31
2016-03-30,2.305
2016-03-31,2.3
2016-04-01,2.305
2016-04-05,2.32
2016-04-06,2.325
2016-04-07,2.36
2016-04-08,2.36
2016-04-11,2.35
2016-04-12,2.39
2016-04-13,2.42
2016-04-14,2.46
2016-04-15,2.42
2016-04-18,2.43
2016-04-19,2.48
2016-04-20,2.55
2016-04-21,2.5475
2016-04-22,2.61
2016-04-25,2.68
2016-04-26,2.64
2016-04-27,2.65
2016-04-28,2.69
2016-04-29,2.71
2016-05-03,2.59
2016-05-04,2.56
2016-05-05,2.56
2016-05-06,2.56
2016-05-09,2.5201
2016-05-10,2.53
2016-05-11,2.5401
2016-05-12,2.55
2016-05-13,2.57
2016-05-16,2.6
2016-05-17,2.61
2016-05-18,2.64
2016-05-19,2.65
2016-05-20,2.63
2016-05-23,2.63
2016-05-24,2.605
2016-05-25,2.61
2016-05-26,2.62
2016-05-27,2.625
2016-05-30,2.6425
2016-05-31,2.63
2016-06-01,2.64
2016-06-02,2.65
2016-06-03,2.64
2016-06-06,2.62
2016-06-07,2.62
2016-06-08,2.63
2016-06-10,2.63
2016-06-13,2.6
2016-06-14,2.56
2016-06-15,2.57
2016-06-16,2.54
2016-06-17,2.55
2016-06-20,2.56
2016-06-21,2.56
2016-06-22,2.55
2016-06-23,2.54
2016-06-24,2.48
2016-06-27,2.47
2016-06-28,2.48
2016-06-29,2.46
2016-06-30,2.45
2016-07-01,2.42
2016-07-04,2.46
2016-07-05,2.46
2016-07-06,2.445
2016-07-07,2.44
2016-07-08,2.44
2016-07-11,2.44
2016-07-12,2.46
2016-07-13,2.47
2016-07-14,2.47
2016-07-15,2.46
2016-07-18,2.455
2016-07-19,2.45
2016-07-20,2.45
2016-07-21,2.44
2016-07-22,2.45
2016-07-25,2.46
2016-07-26,2.46
2016-07-27,2.48
2016-07-28,2.47
2016-07-29,2.46
2016-08-01,2.46
2016-08-02,2.46
2016-08-03,2.45
2016-08-04,2.45
2016-08-05,2.44
2016-08-08,2.45
2016-08-09,2.45
2016-08-10,2.45
2016-08-11,2.45
2016-08-12,2.43
2016-08-15,2.43
2016-08-16,2.435
2016-08-17,2.44
2016-08-18,2.44
2016-08-19,2.46
2016-08-22,2.45
2016-08-23,2.5201
2016-08-24,2.545
2016-08-25,2.55
2016-08-26,2.54
2016-08-29,2.55
2016-08-30,2.555
2016-08-31,2.53
2016-09-01,2.52
2016-09-02,2.53
2016-09-05,2.525
2016-09-06,2.53
2016-09-07,2.535
2016-09-08,2.525
2016-09-09,2.52
2016-09-12,2.54
2016-09-13,2.53
2016-09-14,2.54
2016-09-19,2.55
2016-09-20,2.56
2016-09-21,2.58
2016-09-22,2.57
2016-09-23,2.55
2016-09-26,2.55
2016-09-27,2.555
2016-09-28,2.57
2016-09-29,2.58
2016-09-30,2.58
2016-10-10,2.565
2016-10-11,2.58
2016-10-12,2.58
2016-10-13,2.58
2016-10-14,2.58
2016-10-17,2.58
2016-10-18,2.6
2016-10-19,2.61
2016-10-20,2.6
2016-10-21,2.65
2016-10-24,2.68
2016-10-25,2.6901
2016-10-26,2.72
2016-10-27,2.7101
2016-10-28,2.73
2016-10-31,2.79
2016-11-01,2.74
2016-11-02,2.7101
2016-11-03,2.72
2016-11-04,2.72
2016-11-07,2.74
2016-11-08,2.75
2016-11-09,2.75
2016-11-10,2.8719
2016-11-11,2.88
2016-11-14,2.96
2016-11-15,2.92
2016-11-16,3.0307
2016-11-17,3.0
2016-11-18,3.05
2016-11-21,2.995
2016-11-22,3.0
2016-11-23,2.975
2016-11-24,3.0301
2016-11-25,3.05
2016-11-28,3.08
2016-11-29,3.2301
2016-11-30,3.255
2016-12-01,3.36
2016-12-02,3.31
2016-12-05,3.33
2016-12-06,3.28
2016-12-07,3.25
2016-12-08,3.22
2016-12-09,3.26
2016-12-12,3.35
2016-12-13,3.35
2016-12-14,3.45
