Date,Value
2016-01-04,1.59
2016-01-05,1.59
2016-01-06,1.59
2016-01-07,1.585
2016-01-08,1.585
2016-01-11,1.5725
2016-01-12,1.565
2016-01-13,1.56
2016-01-14,1.5725
2016-01-15,1.5875
2016-01-18,1.5875
2016-01-19,1.585
2016-01-20,1.57
2016-01-21,1.57
2016-01-22,1.5725
2016-01-25,1.5675
2016-01-26,1.555
2016-01-27,1.5625
2016-01-28,1.57
2016-01-29,1.5275
2016-02-01,1.495
2016-02-02,1.4925
2016-02-03,1.4725
2016-02-04,1.475
2016-02-05,1.4825
2016-02-11,1.445
2016-02-12,1.462
2016-02-15,1.47
2016-02-16,1.4275
2016-02-17,1.4325
2016-02-18,1.445
2016-02-19,1.465
2016-02-22,1.4775
2016-02-23,1.485
2016-02-24,1.4825
2016-02-25,1.48
2016-02-26,1.47
2016-02-29,1.4675
2016-03-01,1.4675
2016-03-02,1.47
2016-03-03,1.495
2016-03-04,1.5002
2016-03-07,1.495
2016-03-08,1.4775
2016-03-09,1.4625
2016-03-10,1.4875
2016-03-11,1.52
2016-03-14,1.51
2016-03-15,1.515
2016-03-16,1.525
2016-03-17,1.51
2016-03-18,1.49
2016-03-21,1.49
2016-03-22,1.4975
2016-03-23,1.5025
2016-03-24,1.4975
2016-03-25,1.4975
2016-03-28,1.485
2016-03-29,1.46
2016-03-30,1.46
2016-03-31,1.4625
2016-04-01,1.4575
2016-04-04,1.4475
2016-04-05,1.455
2016-04-06,1.4625
2016-04-07,1.47
2016-04-08,1.4725
2016-04-11,1.48
2016-04-12,1.48
2016-04-14,1.505
2016-04-15,1.5025
2016-04-18,1.5075
2016-04-19,1.5025
2016-04-20,1.4775
2016-04-21,1.49
2016-04-22,1.485
2016-04-25,1.4725
2016-04-26,1.4625
2016-04-27,1.46
2016-04-28,1.4625
2016-04-29,1.4625
2016-05-02,1.4625
2016-05-03,1.4525
2016-05-04,1.445
2016-05-09,1.425
2016-05-10,1.4275
2016-05-11,1.4275
2016-05-12,1.43
2016-05-13,1.44
2016-05-16,1.445
2016-05-17,1.45
2016-05-18,1.465
2016-05-19,1.4675
2016-05-20,1.4575
2016-05-23,1.465
2016-05-24,1.4425
2016-05-25,1.455
2016-05-26,1.4575
2016-05-27,1.46
2016-05-30,1.4875
2016-05-31,1.4825
2016-06-01,1.43
2016-06-02,1.4325
2016-06-03,1.42
2016-06-07,1.4
2016-06-08,1.3875
2016-06-09,1.32
2016-06-10,1.315
2016-06-13,1.305
2016-06-14,1.3225
2016-06-15,1.3225
2016-06-16,1.3075
2016-06-17,1.3175
2016-06-20,1.33
2016-06-21,1.325
2016-06-22,1.325
2016-06-23,1.3125
2016-06-24,1.26
2016-06-27,1.2402
2016-06-28,1.245
2016-06-29,1.2425
2016-06-30,1.2525
2016-07-01,1.225
2016-07-04,1.2325
2016-07-05,1.23
2016-07-06,1.22
2016-07-07,1.2225
2016-07-08,1.23
2016-07-11,1.23
2016-07-12,1.2325
2016-07-13,1.23
2016-07-14,1.23
2016-07-15,1.2425
2016-07-18,1.2475
2016-07-19,1.245
2016-07-20,1.2475
2016-07-21,1.2525
2016-07-22,1.25
2016-07-25,1.25
2016-07-26,1.2475
2016-07-27,1.2475
2016-07-28,1.2375
2016-07-29,1.2402
2016-08-01,1.2375
2016-08-02,1.2425
2016-08-03,1.26
2016-08-04,1.2525
2016-08-05,1.25
2016-08-08,1.265
2016-08-09,1.2625
2016-08-10,1.2475
2016-08-11,1.255
2016-08-12,1.2525
2016-08-16,1.25
2016-08-17,1.2575
2016-08-18,1.2475
2016-08-19,1.2475
2016-08-22,1.2475
2016-08-23,1.245
2016-08-24,1.2475
2016-08-25,1.255
2016-08-26,1.2625
2016-08-29,1.2825
2016-08-30,1.2925
2016-08-31,1.3025
2016-09-01,1.3025
2016-09-02,1.295
2016-09-05,1.285
2016-09-06,1.28
2016-09-07,1.2625
2016-09-08,1.2625
2016-09-09,1.285
2016-09-12,1.295
2016-09-13,1.295
2016-09-14,1.2925
2016-09-15,1.2925
2016-09-16,1.2925
2016-09-19,1.2975
2016-09-20,1.29
2016-09-21,1.29
2016-09-22,1.275
2016-09-23,1.2725
2016-09-26,1.28
2016-09-27,1.28
2016-09-28,1.2825
2016-09-29,1.275
2016-09-30,1.265
2016-10-04,1.2875
2016-10-05,1.305
2016-10-06,1.31
2016-10-07,1.3075
2016-10-10,1.3175
2016-10-11,1.325
2016-10-12,1.3125
2016-10-13,1.3025
2016-10-14,1.3025
2016-10-17,1.315
2016-10-18,1.31
2016-10-19,1.3125
2016-10-20,1.3175
2016-10-21,1.355
2016-10-24,1.363
2016-10-25,1.38
2016-10-26,1.395
2016-10-27,1.3775
2016-10-28,1.39
2016-10-31,1.373
2016-11-01,1.3725
2016-11-02,1.3525
2016-11-03,1.3475
2016-11-04,1.35
2016-11-07,1.3475
2016-11-08,1.345
2016-11-09,1.325
2016-11-10,1.3625
2016-11-11,1.3925
2016-11-14,1.43
2016-11-15,1.4175
2016-11-16,1.4375
2016-11-17,1.4175
2016-11-18,1.445
2016-11-21,1.4425
2016-11-22,1.45
2016-11-23,1.475
2016-11-24,1.555
2016-11-25,1.5625
2016-11-28,1.515
2016-11-29,1.525
2016-11-30,1.5225
2016-12-01,1.515
2016-12-02,1.5275
2016-12-05,1.508
2016-12-06,1.5125
2016-12-07,1.5025
2016-12-08,1.4875
2016-12-09,1.495
2016-12-12,1.5
2016-12-13,1.4725
2016-12-14,1.46
2016-12-15,1.495
2016-12-16,1.495
2016-12-19,1.5
2016-12-20,1.51
2016-12-21,1.495
2016-12-22,1.5
2016-12-23,1.5175
2016-12-26,1.5275
2016-12-27,1.535
2016-12-28,1.515
2016-12-29,1.4975
2016-12-30,1.4975
2017-01-02,1.49
2017-01-03,1.48
2017-01-04,1.475
2017-01-05,1.455
2017-01-06,1.47
2017-01-09,1.4725
2017-01-10,1.4775
2017-01-11,1.48
2017-01-12,1.46
2017-01-13,1.4725
2017-01-16,1.4775
2017-01-17,1.475
2017-01-18,1.4825
2017-01-19,1.49
2017-01-20,1.475
2017-01-23,1.475
2017-01-24,1.4725
2017-01-25,1.485
2017-01-26,1.5025
2017-01-31,1.495
2017-02-01,1.5025
2017-02-02,1.4975
2017-02-03,1.5
2017-02-06,1.49
2017-02-07,1.485
2017-02-08,1.4825
2017-02-09,1.495
2017-02-10,1.495
2017-02-13,1.4975
2017-02-14,1.495
2017-02-15,1.5075
2017-02-16,1.505
2017-02-17,1.5025
2017-02-20,1.505
2017-02-21,1.5025
2017-02-22,1.5125
2017-02-23,1.5025
2017-02-24,1.5025
2017-02-27,1.5075
2017-02-28,1.5075
2017-03-01,1.51
2017-03-02,1.53
2017-03-03,1.525
2017-03-06,1.5325
2017-03-07,1.5575
2017-03-08,1.5475
2017-03-09,1.55
2017-03-10,1.5425
2017-03-13,1.5375
2017-03-14,1.535
2017-03-15,1.535
2017-03-16,1.51
2017-03-17,1.51
2017-03-20,1.5125
2017-03-21,1.5125
2017-03-22,1.5075
2017-03-23,1.505
2017-03-24,1.5125
2017-03-27,1.5
2017-03-28,1.5125
2017-03-29,1.4925
2017-03-30,1.4875
2017-03-31,1.49
2017-04-03,1.482
2017-04-04,1.4725
2017-04-05,1.4725
