Date,Value
2016-01-01,11.2425
2016-01-04,11.695
2016-01-05,11.865
2016-01-06,12.0
2016-01-07,12.345
2016-01-08,12.315
2016-01-11,12.48
2016-01-12,12.175
2016-01-13,12.1925
2016-01-14,12.495
2016-01-15,13.1375
2016-01-18,12.55
2016-01-19,12.505
2016-01-20,12.84
2016-01-21,12.805
2016-01-22,12.4175
2016-01-25,12.3925
2016-01-26,12.41
2016-01-27,12.2
2016-01-28,12.305
2016-01-29,12.245
2016-02-01,12.33
2016-02-02,11.955
2016-02-03,12.2075
2016-02-04,12.1525
2016-02-05,12.225
2016-02-08,13.075
2016-02-09,13.31
2016-02-10,13.0225
2016-02-11,13.6575
2016-02-12,13.35
2016-02-15,12.61
2016-02-16,12.7825
2016-02-17,12.75
2016-02-18,12.5
2016-02-19,12.7425
2016-02-22,12.61
2016-02-23,12.405
2016-02-24,12.645
2016-02-25,12.535
2016-02-26,12.2675
2016-02-29,12.55
2016-03-01,12.365
2016-03-02,12.21
2016-03-03,12.23
2016-03-04,12.02
2016-03-07,12.155
2016-03-08,12.325
2016-03-09,12.3575
2016-03-10,12.4975
2016-03-11,12.32
2016-03-14,12.08
2016-03-15,12.07
2016-03-16,12.2
2016-03-17,12.22
2016-03-18,12.19
2016-03-21,12.01
2016-03-22,12.245
2016-03-23,12.5
2016-03-24,12.87
2016-03-25,12.95
2016-03-28,12.9825
2016-03-29,12.9075
2016-03-30,12.335
2016-03-31,12.35
2016-04-01,12.29
2016-04-04,12.435
2016-04-05,12.8275
2016-04-06,12.6825
2016-04-07,13.1
2016-04-08,12.87
2016-04-11,12.76
2016-04-12,12.8025
2016-04-13,12.765
2016-04-14,12.9625
2016-04-15,12.9875
2016-04-18,13.0475
2016-04-19,12.6175
2016-04-20,12.3575
2016-04-21,12.425
2016-04-22,12.4075
2016-04-25,12.55
2016-04-26,12.335
2016-04-27,12.7925
2016-04-28,12.9025
2016-04-29,12.84
2016-05-02,12.9925
2016-05-03,12.9825
2016-05-04,13.045
2016-05-05,12.92
2016-05-06,12.885
2016-05-09,12.7675
2016-05-10,12.7375
2016-05-11,12.715
2016-05-12,12.72
2016-05-13,12.8
2016-05-16,12.815
2016-05-17,12.3525
2016-05-18,12.4925
2016-05-19,12.7425
2016-05-20,12.4325
2016-05-23,12.4175
2016-05-24,12.3725
2016-05-25,12.0725
2016-05-26,11.7625
2016-05-27,11.55
2016-05-30,11.7525
2016-05-31,11.5125
2016-06-01,11.6575
2016-06-02,11.79
2016-06-03,11.46
2016-06-06,11.4475
2016-06-07,11.1975
2016-06-08,11.08
2016-06-09,11.4125
2016-06-10,12.0775
2016-06-13,12.14
2016-06-14,12.3375
2016-06-15,11.745
2016-06-16,12.3
2016-06-17,11.7925
2016-06-20,11.46
2016-06-21,11.5
2016-06-22,11.9025
2016-06-23,11.605
2016-06-24,12.1125
2016-06-27,12.5975
2016-06-28,12.16
2016-06-29,11.73
2016-06-30,11.6975
2016-07-01,11.575
2016-07-04,11.7025
2016-07-05,12.1175
2016-07-06,12.23
2016-07-07,11.965
2016-07-08,11.5
2016-07-11,11.37
2016-07-12,11.295
2016-07-13,11.175
2016-07-14,11.175
2016-07-15,11.305
2016-07-18,11.335
2016-07-19,11.49
2016-07-20,11.4175
2016-07-21,11.18
2016-07-22,11.1525
2016-07-25,11.23
2016-07-26,11.27
2016-07-27,10.72
2016-07-28,10.59
2016-07-29,10.3275
2016-08-01,10.5125
2016-08-02,10.4825
2016-08-03,10.5625
2016-08-04,10.4325
2016-08-05,10.285
2016-08-08,10.065
2016-08-09,10.3
2016-08-10,10.72
2016-08-11,10.625
2016-08-12,10.375
2016-08-15,10.455
2016-08-16,10.6625
2016-08-17,10.6975
2016-08-18,10.685
2016-08-19,10.8125
2016-08-22,10.87
2016-08-23,10.565
2016-08-24,10.565
2016-08-25,10.565
2016-08-26,10.615
2016-08-29,10.9
2016-08-30,11.025
2016-08-31,11.0225
2016-09-01,10.895
2016-09-02,10.66
2016-09-05,10.5025
2016-09-06,10.2975
2016-09-07,10.285
2016-09-08,10.285
2016-09-09,10.61
2016-09-12,11.165
2016-09-13,11.43
2016-09-14,11.48
2016-09-15,11.4475
2016-09-16,11.1175
2016-09-19,10.89
2016-09-20,10.97
2016-09-21,10.7625
2016-09-22,10.81
2016-09-23,10.73
2016-09-26,10.87
2016-09-27,10.67
2016-09-28,10.5675
2016-09-29,10.685
2016-09-30,10.64
2016-10-03,10.4375
2016-10-04,10.5525
2016-10-05,10.5325
2016-10-06,10.435
2016-10-07,10.4425
2016-10-10,10.335
2016-10-11,10.415
2016-10-12,10.385
2016-10-13,10.6025
2016-10-14,10.3375
2016-10-17,10.26
2016-10-18,9.885
2016-10-19,9.79
2016-10-20,9.8075
2016-10-21,9.7775
2016-10-24,9.7925
2016-10-25,9.82
2016-10-26,9.7775
2016-10-27,9.9625
2016-10-28,10.01
2016-10-31,10.09
2016-11-01,10.16
2016-11-02,10.2475
2016-11-03,10.375
2016-11-04,10.305
2016-11-07,10.07
2016-11-08,10.04
2016-11-09,10.395
2016-11-10,10.7125
2016-11-11,11.1675
2016-11-14,11.325
2016-11-15,10.57
2016-11-16,10.8525
2016-11-17,11.02
2016-11-18,11.2975
2016-11-21,11.0875
2016-11-22,10.85
2016-11-23,10.85
2016-11-24,10.945
2016-11-25,10.9825
2016-11-28,10.9325
2016-11-29,10.7975
2016-11-30,11.005
2016-12-01,11.055
2016-12-02,10.775
2016-12-05,10.715
2016-12-06,10.545
2016-12-07,10.5375
2016-12-08,10.45
2016-12-09,10.295
2016-12-12,10.435
2016-12-13,10.115
2016-12-14,10.315
2016-12-15,11.2925
2016-12-16,11.27
2016-12-19,11.46
2016-12-20,11.26
2016-12-21,11.08
2016-12-22,11.22
2016-12-23,11.255
2016-12-26,11.34
2016-12-27,11.4325
2016-12-28,11.435
2016-12-29,11.5275
2016-12-30,11.5975
2017-01-02,11.7475
2017-01-03,11.57
2017-01-04,11.16
2017-01-05,10.89
2017-01-06,10.5475
2017-01-09,10.485
2017-01-10,10.37
2017-01-11,10.54
2017-01-12,10.56
2017-01-13,10.4125
2017-01-16,10.51
2017-01-17,10.3425
2017-01-18,10.1275
2017-01-19,10.3
2017-01-20,10.5025
2017-01-23,10.22
2017-01-24,10.195
2017-01-25,10.16
2017-01-26,10.045
2017-01-27,10.045
2017-01-30,10.1475
2017-01-31,10.075
2017-02-01,9.93
2017-02-02,10.11
2017-02-03,9.95
2017-02-06,9.9425
2017-02-07,10.13
2017-02-08,10.285
2017-02-09,10.145
2017-02-10,10.025
2017-02-13,9.975
2017-02-14,9.73
2017-02-15,9.55
2017-02-16,9.5925
2017-02-17,9.9325
2017-02-20,10.02
2017-02-21,9.95
2017-02-22,9.91
2017-02-23,9.885
2017-02-24,9.675
2017-02-27,9.74
2017-02-28,9.565
2017-03-01,9.72
2017-03-02,9.91
2017-03-03,9.8175
2017-03-06,9.7325
2017-03-07,9.51
2017-03-08,9.69
2017-03-09,9.885
2017-03-10,9.725
2017-03-13,9.545
2017-03-14,9.5325
2017-03-15,9.29
2017-03-16,8.645
2017-03-17,8.68
2017-03-20,8.88
2017-03-21,8.9125
2017-03-22,9.3275
2017-03-23,9.3975
2017-03-24,9.165
2017-03-27,9.16
2017-03-28,8.85
2017-03-29,8.76
2017-03-30,8.535
2017-03-31,8.54
2017-04-03,8.3925
2017-04-04,8.5475
2017-04-05,8.4075
2017-04-06,8.6275
2017-04-07,8.7025
2017-04-10,8.7325
2017-04-11,8.645
2017-04-12,8.7825
2017-04-13,8.8525
2017-04-14,8.865
2017-04-17,8.9325
2017-04-18,8.86
2017-04-19,8.8225
2017-04-20,8.715
2017-04-21,8.61
2017-04-24,7.87
2017-04-25,7.945
2017-04-26,8.3
2017-04-27,8.365
2017-04-28,8.255
2017-05-01,8.405
2017-05-02,8.38
2017-05-03,8.4275
2017-05-04,8.58
2017-05-05,8.53
2017-05-08,8.275
2017-05-09,8.3475
2017-05-10,8.26
2017-05-11,8.305
2017-05-12,8.135
2017-05-15,7.935
2017-05-16,7.76
2017-05-17,7.955
2017-05-18,8.4175
2017-05-19,8.02
2017-05-22,7.9675
2017-05-23,7.8875
2017-05-24,7.98
2017-05-25,7.775
2017-05-26,7.845
2017-05-29,7.815
2017-05-30,7.745
2017-05-31,7.715
2017-06-01,7.935
2017-06-02,7.73
2017-06-05,7.72
2017-06-06,7.685
2017-06-07,7.75
2017-06-08,7.665
2017-06-09,7.405
2017-06-12,7.37
2017-06-13,7.275
2017-06-14,7.35
2017-06-15,7.435
2017-06-16,7.465
2017-06-19,7.46
2017-06-20,7.515
2017-06-21,7.78
2017-06-22,7.77
2017-06-23,7.605
2017-06-26,7.48
2017-06-27,7.545
2017-06-28,7.685
2017-06-29,7.99
2017-06-30,8.1
2017-07-03,8.095
2017-07-04,7.845
2017-07-05,8.225
2017-07-06,8.11
2017-07-07,7.88
2017-07-10,7.6
2017-07-11,7.615
2017-07-12,7.61
2017-07-13,7.725
2017-07-14,8.015
2017-07-17,8.18
2017-07-18,8.66
2017-07-19,8.825
2017-07-20,8.795
2017-07-21,8.61
2017-07-24,8.675
2017-07-25,8.75
2017-07-26,8.345
2017-07-27,8.545
2017-07-28,8.685
2017-07-31,8.755
2017-08-01,8.755
2017-08-02,8.925
2017-08-03,9.065
2017-08-04,8.815
2017-08-07,8.83
2017-08-08,8.59
2017-08-09,8.76
2017-08-10,8.96
2017-08-11,9.215
2017-08-14,8.84
2017-08-15,8.805
2017-08-16,8.68
2017-08-17,8.73
2017-08-18,8.76
2017-08-21,8.71
2017-08-22,8.66
2017-08-23,8.705
2017-08-24,8.565
2017-08-25,8.295
2017-08-28,8.335
2017-08-29,8.45
2017-08-30,8.52
2017-08-31,8.6
2017-09-01,8.455
2017-09-04,8.515
2017-09-05,8.62
2017-09-06,8.705
2017-09-07,8.8
2017-09-08,9.255
2017-09-11,9.125
2017-09-12,9.025
2017-09-13,9.005
2017-09-14,8.99
2017-09-15,8.85
2017-09-18,8.83
2017-09-19,8.895
2017-09-20,8.8575
2017-09-21,9.01
2017-09-22,9.065
2017-09-25,9.125
2017-09-26,9.015
2017-09-27,8.965
2017-09-28,8.875
2017-09-29,8.595
2017-10-02,8.475
2017-10-03,8.335
2017-10-04,8.2975
2017-10-05,8.245
2017-10-06,8.38
2017-10-09,8.38
2017-10-10,8.365
2017-10-11,8.325
2017-10-12,8.14
