Date,Value
2016-01-01,1.4675
2016-01-04,1.4975
2016-01-05,1.49
2016-01-06,1.4775
2016-01-07,1.5125
2016-01-08,1.5025
2016-01-11,1.4875
2016-01-12,1.3875
2016-01-13,1.4875
2016-01-14,1.4925
2016-01-15,1.4925
2016-01-18,1.5075
2016-01-19,1.4925
2016-01-20,1.4775
2016-01-21,1.485
2016-01-22,1.4975
2016-01-25,1.4975
2016-01-26,1.4825
2016-01-27,1.5275
2016-01-28,1.435
2016-01-29,1.5225
2016-02-01,1.5125
2016-02-02,1.5125
2016-02-03,1.51
2016-02-04,1.4825
2016-02-05,1.5175
2016-02-08,1.5075
2016-02-09,1.5075
2016-02-10,1.5025
2016-02-11,1.475
2016-02-12,1.4425
2016-02-15,1.2925
2016-02-16,1.3325
2016-02-17,1.33
2016-02-18,1.3275
2016-02-19,1.3225
2016-02-22,1.375
2016-02-23,1.355
2016-02-24,1.395
2016-02-25,1.38
2016-02-26,1.3775
2016-02-29,1.3925
2016-03-01,1.39
2016-03-02,1.3975
2016-03-03,1.3875
2016-03-04,1.38
2016-03-07,1.3925
2016-03-08,1.3625
2016-03-09,1.3875
2016-03-10,1.3825
2016-03-11,1.3825
2016-03-14,1.34
2016-03-15,1.34
2016-03-16,1.3425
2016-03-17,1.3375
2016-03-18,1.345
2016-03-21,1.3525
2016-03-22,1.3525
2016-03-23,1.3525
2016-03-24,1.34
2016-03-25,1.3475
2016-03-28,1.345
2016-03-29,1.34
2016-03-30,1.3525
2016-03-31,1.3525
2016-04-01,1.35
2016-04-04,1.345
2016-04-05,1.35
2016-04-06,1.3525
2016-04-07,1.3525
2016-04-08,1.3425
2016-04-11,1.3475
2016-04-12,1.345
2016-04-13,1.3475
2016-04-14,1.3475
2016-04-15,1.35
2016-04-18,1.35
2016-04-19,1.3525
2016-04-20,1.3525
2016-04-21,1.355
2016-04-22,1.35
2016-04-25,1.3525
2016-04-26,1.3525
2016-04-27,1.3525
2016-04-28,1.3475
2016-04-29,1.325
2016-05-02,1.3175
2016-05-03,1.32
2016-05-04,1.31
2016-05-05,1.345
2016-05-06,1.3425
2016-05-09,1.2
2016-05-10,1.2
2016-05-11,1.2025
2016-05-12,1.2
2016-05-13,1.2075
2016-05-16,1.2025
2016-05-17,1.2475
2016-05-18,1.275
2016-05-19,1.275
2016-05-20,1.275
2016-05-23,1.2725
2016-05-24,1.275
2016-05-25,1.2725
2016-05-26,1.275
2016-05-27,1.275
2016-05-30,1.265
2016-05-31,1.275
2016-06-01,1.2725
2016-06-02,1.2525
2016-06-03,1.2725
2016-06-06,1.23
2016-06-07,1.15
2016-06-08,1.2125
2016-06-09,1.22
2016-06-10,1.21
2016-06-13,1.21
2016-06-14,1.215
2016-06-15,1.2125
2016-06-16,1.2075
2016-06-17,1.2
2016-06-20,1.2125
2016-06-21,1.215
2016-06-22,1.1975
2016-06-23,1.2125
2016-06-24,1.215
2016-06-27,1.23
2016-06-28,1.23
2016-06-29,1.22
2016-06-30,1.22
2016-07-01,1.22
2016-07-04,1.195
2016-07-05,1.225
2016-07-06,1.21
2016-07-07,1.23
2016-07-08,1.22
2016-07-11,1.225
2016-07-12,1.21
2016-07-13,1.2275
2016-07-14,1.2325
2016-07-15,1.22
2016-07-18,1.2175
2016-07-19,1.195
2016-07-20,1.235
2016-07-21,1.2125
2016-07-22,1.2175
2016-07-25,1.1
2016-07-26,1.1025
2016-07-27,1.09
2016-07-28,1.09
2016-07-29,1.0925
2016-08-01,1.0675
2016-08-02,1.07
2016-08-03,1.065
2016-08-04,1.0625
2016-08-05,1.065
2016-08-08,1.06
2016-08-09,1.0575
2016-08-10,1.065
2016-08-11,1.06
2016-08-12,1.065
2016-08-15,1.0575
2016-08-16,1.0525
2016-08-17,1.06
2016-08-18,1.06
2016-08-19,1.055
2016-08-22,1.05
2016-08-23,1.0575
2016-08-24,1.06
2016-08-25,1.0525
2016-08-26,1.0575
2016-08-29,1.0575
2016-08-30,1.0575
2016-08-31,1.0575
2016-09-01,1.065
2016-09-02,1.0575
2016-09-05,1.06
2016-09-06,1.0625
2016-09-07,1.0525
2016-09-08,1.045
2016-09-09,1.0525
2016-09-12,1.015
2016-09-13,1.0575
2016-09-14,0.965
2016-09-15,0.9725
2016-09-16,0.9425
2016-09-19,1.08
2016-09-20,0.9825
2016-09-21,0.9625
2016-09-22,0.9625
2016-09-23,0.9525
2016-09-26,1.065
2016-09-27,1.0675
2016-09-28,1.065
2016-09-29,1.065
2016-09-30,1.0625
2016-10-03,1.0525
2016-10-04,1.065
2016-10-05,1.065
2016-10-06,1.065
2016-10-07,1.0675
2016-10-10,1.04
2016-10-11,1.0425
2016-10-12,1.04
2016-10-13,1.04
2016-10-14,1.04
2016-10-17,1.04
2016-10-18,1.045
2016-10-19,1.0525
2016-10-20,1.055
2016-10-21,1.045
2016-10-24,1.04
2016-10-25,1.045
2016-10-26,1.0575
2016-10-27,1.0525
2016-10-28,1.0525
2016-10-31,1.045
2016-11-01,1.0375
2016-11-02,1.05
2016-11-03,1.05
2016-11-04,1.0425
2016-11-07,1.05
2016-11-08,1.045
2016-11-09,1.045
2016-11-10,1.055
2016-11-11,1.055
2016-11-14,1.0525
2016-11-15,1.0525
2016-11-16,1.0525
2016-11-17,1.04
2016-11-18,1.035
2016-11-21,1.0475
2016-11-22,1.0475
2016-11-23,1.08
2016-11-24,1.075
2016-11-25,1.1
2016-11-28,1.09
2016-11-29,1.09
2016-11-30,1.1075
2016-12-01,1.085
2016-12-02,1.0825
2016-12-05,1.1
2016-12-06,1.085
2016-12-07,1.0925
2016-12-08,1.075
2016-12-09,1.08
2016-12-12,1.105
2016-12-13,1.1025
2016-12-14,1.095
2016-12-15,1.08
2016-12-16,1.095
2016-12-19,1.075
2016-12-20,1.0975
2016-12-21,1.0825
2016-12-22,1.08
2016-12-23,1.11
2016-12-26,1.075
2016-12-27,1.03
2016-12-28,1.075
2016-12-29,1.1
