Date,Value
2016-01-01,5.4325
2016-01-04,5.515
2016-01-05,5.355
2016-01-06,5.385
2016-01-07,5.83
2016-01-08,6.685
2016-01-11,6.79
2016-01-12,6.925
2016-01-13,6.575
2016-01-14,6.63
2016-01-15,6.66
2016-01-18,6.68
2016-01-19,6.725
2016-01-20,6.78
2016-01-21,7.0
2016-01-25,7.095
2016-01-26,7.165
2016-01-27,7.145
2016-01-28,7.935
2016-01-29,8.46
2016-02-01,9.3375
2016-02-02,10.025
2016-02-03,10.115
2016-02-04,9.42
2016-02-05,9.16
2016-02-08,9.18
2016-02-09,9.2625
2016-02-10,9.0575
2016-02-11,8.935
2016-02-12,9.145
2016-02-15,8.79
2016-02-16,8.2
2016-02-17,8.14
2016-02-18,7.95
2016-02-19,8.135
2016-02-22,8.165
2016-02-23,8.3875
2016-02-24,8.645
2016-02-25,8.62
2016-02-26,8.555
2016-02-29,8.5
2016-03-01,7.58
2016-03-02,7.375
2016-03-03,7.175
2016-03-04,7.18
2016-03-07,7.13
2016-03-08,7.11
2016-03-09,7.11
2016-03-10,7.105
2016-03-11,6.855
2016-03-14,6.79
2016-03-15,6.72
2016-03-16,6.9525
2016-03-17,6.9925
2016-03-18,6.73
2016-03-21,6.955
2016-03-22,7.0775
2016-03-23,7.2275
2016-03-24,7.3275
2016-03-25,7.285
2016-03-28,7.3175
2016-03-29,7.2775
2016-03-30,6.9675
2016-03-31,6.9675
2016-04-01,6.9525
2016-04-04,7.0025
2016-04-05,7.065
2016-04-06,7.1725
2016-04-07,7.2475
2016-04-08,7.255
2016-04-11,7.1425
2016-04-12,6.8275
2016-04-13,6.7325
2016-04-14,6.7275
2016-04-15,6.735
2016-04-18,6.745
2016-04-19,6.745
2016-04-20,6.71
2016-04-21,6.7225
2016-04-22,6.815
2016-04-25,6.99
2016-04-26,6.9725
2016-04-27,7.0375
2016-04-28,6.845
2016-04-29,6.7175
2016-05-02,6.57
2016-05-03,6.6425
2016-05-04,6.6425
2016-05-05,6.675
2016-05-06,6.735
2016-05-09,6.7475
2016-05-10,6.9975
2016-05-11,6.8275
2016-05-12,6.76
2016-05-13,6.9075
2016-05-16,7.015
2016-05-17,7.0825
2016-05-18,7.0475
2016-05-19,7.1925
2016-05-20,7.09
2016-05-23,6.96
2016-05-24,6.9775
2016-05-25,6.7625
2016-05-26,6.1475
2016-05-27,6.12
2016-05-30,6.07
2016-05-31,5.71
2016-06-01,5.77
2016-06-02,5.61
2016-06-03,5.4825
2016-06-06,5.5
2016-06-07,5.495
2016-06-08,4.715
2016-06-09,4.7
2016-06-10,4.83
2016-06-13,4.8925
2016-06-14,5.06
2016-06-15,5.3675
2016-06-16,5.38
2016-06-17,5.365
2016-06-20,5.29
2016-06-21,5.17
2016-06-22,5.195
2016-06-23,5.25
2016-06-24,5.6725
2016-06-27,6.155
2016-06-28,5.585
2016-06-29,5.455
2016-06-30,5.505
2016-07-01,5.41
2016-07-04,5.185
2016-07-05,4.86
2016-07-06,4.94
2016-07-07,4.91
2016-07-08,4.87
2016-07-11,4.765
2016-07-12,4.655
2016-07-13,4.485
2016-07-14,4.445
2016-07-15,4.47
2016-07-18,4.43
2016-07-19,4.435
2016-07-20,4.38
2016-07-21,4.2925
2016-07-22,4.22
2016-07-25,4.23
2016-07-26,4.19
2016-07-27,3.76
2016-07-28,3.56
2016-07-29,3.4575
2016-08-01,3.52
2016-08-02,3.6275
2016-08-03,3.6625
2016-08-04,3.7025
2016-08-05,3.7125
2016-08-08,3.74
2016-08-09,3.81
2016-08-10,3.95
2016-08-11,4.035
2016-08-12,4.06
2016-08-15,4.145
2016-08-16,4.11
2016-08-17,4.11
2016-08-18,4.105
2016-08-19,4.2225
2016-08-22,4.2975
2016-08-23,4.3
2016-08-24,4.305
2016-08-25,4.365
2016-08-26,4.4
2016-08-29,4.46
2016-08-30,4.4625
2016-08-31,4.475
2016-09-01,4.3925
2016-09-02,4.355
2016-09-05,4.325
2016-09-06,4.31
2016-09-07,4.27
2016-09-08,4.265
2016-09-09,4.26
2016-09-12,4.51
2016-09-13,4.495
2016-09-14,4.68
2016-09-15,4.61
2016-09-16,4.5925
2016-09-19,4.4925
2016-09-20,4.39
2016-09-21,4.17
2016-09-22,3.8225
2016-09-23,3.9875
2016-09-26,3.955
2016-09-27,3.8575
2016-09-28,3.8075
2016-09-29,3.865
2016-09-30,3.85
2016-10-03,3.865
2016-10-04,3.85
2016-10-05,3.93
2016-10-06,4.05
2016-10-07,4.115
2016-10-10,4.11
2016-10-11,4.075
2016-10-12,4.045
2016-10-13,3.91
2016-10-14,3.7025
2016-10-17,3.7025
2016-10-18,3.7275
2016-10-19,3.695
2016-10-20,3.615
2016-10-21,3.615
2016-10-24,3.5725
2016-10-25,3.5125
2016-10-26,3.5
2016-10-27,3.48
2016-10-28,3.465
2016-10-31,3.565
2016-11-01,3.44
2016-11-02,3.405
2016-11-03,3.44
2016-11-04,3.635
2016-11-07,3.6825
2016-11-08,3.585
2016-11-09,3.5675
2016-11-10,3.615
2016-11-11,4.0225
2016-11-14,4.0975
2016-11-15,4.26
2016-11-16,4.2425
2016-11-17,4.35
2016-11-18,4.66
2016-11-21,4.9275
2016-11-22,5.195
2016-11-23,5.09
2016-11-24,5.165
2016-11-25,5.16
2016-11-28,5.1575
2016-11-29,5.07
2016-11-30,4.605
2016-12-01,4.465
2016-12-02,4.505
2016-12-05,4.61
2016-12-06,4.58
2016-12-07,4.63
2016-12-08,4.585
2016-12-09,4.57
2016-12-12,5.255
2016-12-13,5.205
2016-12-14,5.175
2016-12-15,5.25
2016-12-16,5.3125
2016-12-19,5.47
2016-12-20,5.4925
2016-12-21,5.75
2016-12-22,5.7675
2016-12-23,5.725
2016-12-26,5.825
2016-12-27,6.0675
2016-12-28,6.12
2016-12-29,6.1525
2016-12-30,6.1625
2017-01-02,6.1575
2017-01-03,5.785
2017-01-04,5.285
2017-01-05,5.0925
2017-01-06,5.0675
2017-01-09,4.915
2017-01-10,4.57
2017-01-11,4.635
2017-01-12,4.595
2017-01-13,4.3775
2017-01-16,4.36
2017-01-17,4.3375
2017-01-18,4.4175
2017-01-19,4.93
2017-01-20,4.8775
2017-01-23,4.8675
2017-01-24,4.785
2017-01-25,4.76
2017-01-26,4.86
2017-01-27,4.8575
2017-01-30,4.875
2017-01-31,5.1
2017-02-01,5.08
2017-02-02,5.06
2017-02-03,5.035
2017-02-06,4.96
2017-02-07,4.975
2017-02-08,5.0
2017-02-09,4.87
2017-02-10,4.84
2017-02-13,4.835
2017-02-14,4.765
2017-02-15,4.745
2017-02-16,4.23
2017-02-17,4.22
2017-02-20,4.205
2017-02-21,4.2125
2017-02-22,4.2175
2017-02-23,4.205
2017-02-24,4.185
2017-02-27,4.215
2017-02-28,4.2
2017-03-01,4.2125
2017-03-02,4.1725
2017-03-03,4.2075
2017-03-06,4.1475
2017-03-07,4.065
2017-03-08,3.875
2017-03-09,3.9325
2017-03-10,3.9275
2017-03-13,3.87
2017-03-14,3.85
2017-03-15,3.8075
2017-03-16,3.3275
2017-03-17,3.325
2017-03-20,3.2275
2017-03-21,3.16
2017-03-22,3.205
2017-03-23,3.045
2017-03-24,3.0125
2017-03-27,2.945
2017-03-28,2.815
2017-03-29,2.83
2017-03-30,2.85
2017-03-31,2.8675
2017-04-03,2.865
2017-04-04,2.89
2017-04-05,2.89
2017-04-06,2.9875
2017-04-07,3.2075
2017-04-10,3.31
2017-04-11,3.235
2017-04-12,3.1575
2017-04-13,3.1425
2017-04-14,3.1525
2017-04-17,3.1575
2017-04-18,3.1575
2017-04-19,3.195
2017-04-20,3.13
2017-04-21,3.0875
2017-04-24,2.6275
2017-04-25,2.5975
2017-04-26,2.51
2017-04-27,2.5375
2017-04-28,2.5925
2017-05-01,2.5675
2017-05-02,2.5675
2017-05-03,2.565
2017-05-04,2.6475
2017-05-05,2.7475
2017-05-08,2.7475
2017-05-09,2.9575
2017-05-10,2.9925
2017-05-11,3.4725
2017-05-12,3.5075
2017-05-15,3.4775
2017-05-16,3.43
2017-05-17,3.385
2017-05-18,3.4
2017-05-19,3.93
2017-05-22,3.97
2017-05-23,3.955
2017-05-24,3.935
2017-05-25,3.8
2017-05-26,3.7275
2017-05-29,3.53
2017-05-30,3.55
2017-05-31,3.425
2017-06-01,3.35
2017-06-02,3.32
2017-06-05,3.3025
2017-06-06,3.08
2017-06-07,3.08
2017-06-08,3.0725
2017-06-09,3.035
2017-06-12,3.0825
2017-06-13,3.0675
2017-06-14,3.0775
2017-06-15,3.07
2017-06-16,3.0425
2017-06-19,3.0625
2017-06-20,3.0775
2017-06-21,3.0575
2017-06-22,2.9675
2017-06-23,2.945
2017-06-26,2.9025
2017-06-27,2.5975
2017-06-28,2.6275
2017-06-29,2.6325
2017-06-30,2.7425
2017-07-03,2.75
2017-07-04,2.7375
2017-07-05,2.7325
2017-07-06,2.7325
2017-07-07,2.7225
2017-07-10,2.72
2017-07-11,2.68
2017-07-12,2.6575
2017-07-13,2.6825
2017-07-14,2.685
2017-07-17,2.54
2017-07-18,2.525
2017-07-19,2.44
2017-07-20,2.415
2017-07-21,2.35
2017-07-24,2.335
2017-07-25,2.32
2017-07-26,2.3125
2017-07-27,2.305
2017-07-28,2.33
2017-07-31,2.385
2017-08-01,2.415
2017-08-02,2.5
2017-08-03,2.505
2017-08-04,2.525
2017-08-07,2.565
2017-08-08,2.59
2017-08-09,2.715
2017-08-10,2.77
2017-08-11,2.855
2017-08-14,2.87
2017-08-15,2.915
2017-08-16,3.0175
2017-08-17,2.9925
2017-08-18,2.9975
2017-08-21,3.065
2017-08-22,3.0975
2017-08-23,3.075
