Date,Value
2016-01-01,0.8
2016-01-04,0.31
2016-01-05,0.3325
2016-01-06,0.2725
2016-01-07,0.29
2016-01-08,0.3175
2016-01-11,0.28
2016-01-12,0.28
2016-01-13,0.605
2016-01-14,0.305
2016-01-15,0.3375
2016-01-18,0.3325
2016-01-19,0.29
2016-01-20,0.68
2016-01-21,0.51
2016-01-22,0.37
2016-01-25,0.31
2016-01-26,0.3
2016-01-27,0.3
2016-01-28,0.375
2016-01-29,0.3425
2016-02-01,0.34
2016-02-02,0.355
2016-02-03,0.36
2016-02-04,0.335
2016-02-05,-0.26
2016-02-08,0.3225
2016-02-09,-0.035
2016-02-10,0.325
2016-02-11,0.3
2016-02-12,0.32
2016-02-15,0.325
2016-02-16,0.27
2016-02-17,0.27
2016-02-18,0.275
2016-02-19,0.2625
2016-02-22,0.265
2016-02-23,0.3025
2016-02-24,0.29
2016-02-25,0.29
2016-02-26,0.255
2016-02-29,0.285
2016-03-01,0.2725
2016-03-02,0.2675
2016-03-03,0.285
2016-03-04,0.2825
2016-03-07,0.245
2016-03-08,0.2975
2016-03-09,0.3175
2016-03-10,0.275
2016-03-11,0.3175
2016-03-14,0.29
2016-03-15,0.285
2016-03-16,0.33
2016-03-17,0.2625
2016-03-18,0.265
2016-03-21,0.2525
2016-03-22,0.27
2016-03-23,0.2875
2016-03-24,0.3025
2016-03-25,0.3225
2016-03-28,0.37
2016-03-29,0.3525
2016-03-30,0.3125
2016-03-31,0.345
2016-04-01,0.305
2016-04-04,0.285
2016-04-05,0.2675
2016-04-06,0.275
2016-04-07,0.275
2016-04-08,0.2725
2016-04-11,0.25
2016-04-12,0.275
2016-04-13,0.27
2016-04-14,0.2875
2016-04-15,0.2625
2016-04-18,0.2725
2016-04-19,0.285
2016-04-20,0.31
2016-04-21,0.31
2016-04-22,0.29
2016-04-25,0.2425
2016-04-26,0.29
2016-04-27,0.275
2016-04-28,0.295
2016-04-29,0.38
2016-05-02,-0.0175
2016-05-03,0.245
2016-05-04,0.28
2016-05-05,0.29
2016-05-06,0.285
2016-05-09,0.245
2016-05-10,0.235
2016-05-11,0.24
2016-05-12,0.25
2016-05-13,0.23
2016-05-16,0.3925
2016-05-17,0.2375
2016-05-18,0.2625
2016-05-19,0.3
2016-05-20,0.33
2016-05-23,0.3
2016-05-24,0.3175
2016-05-25,0.275
2016-05-26,0.2075
2016-05-27,0.255
2016-05-30,0.265
2016-05-31,0.1725
2016-06-01,0.2275
2016-06-02,0.2575
2016-06-03,0.365
2016-06-06,0.5675
2016-06-07,0.635
2016-06-08,0.315
2016-06-09,0.24
2016-06-10,0.305
2016-06-13,0.2275
2016-06-14,0.2475
2016-06-15,0.2375
2016-06-16,0.2225
2016-06-17,0.4475
2016-06-20,0.2375
2016-06-21,0.2275
2016-06-22,0.235
2016-06-23,0.2175
2016-06-24,0.2525
2016-06-27,0.47
2016-06-28,0.4125
2016-06-29,0.42
2016-06-30,0.4475
2016-07-01,0.4025
2016-07-04,0.345
2016-07-05,0.3375
2016-07-06,0.3375
2016-07-07,0.2725
2016-07-08,0.4625
2016-07-11,0.3075
2016-07-12,0.2825
2016-07-13,0.2875
2016-07-14,0.2825
2016-07-15,0.375
2016-07-18,0.23
2016-07-19,0.23
2016-07-20,0.2225
2016-07-21,0.2275
2016-07-22,0.3075
2016-07-25,0.2525
2016-07-26,0.3025
2016-07-27,0.22
2016-07-28,0.2575
2016-07-29,0.3825
2016-08-01,0.6475
2016-08-02,0.4325
2016-08-03,0.2925
2016-08-04,0.315
2016-08-05,0.36
2016-08-08,0.23
2016-08-09,0.24
2016-08-10,0.245
2016-08-11,0.2175
2016-08-12,0.385
2016-08-15,0.3175
2016-08-16,0.23
2016-08-17,0.395
2016-08-18,0.2325
2016-08-19,0.39
2016-08-22,0.235
2016-08-23,0.2125
2016-08-24,0.1425
2016-08-25,0.0875
2016-08-26,0.6275
2016-08-29,0.2875
2016-08-30,0.2075
2016-08-31,0.295
2016-09-01,0.21
2016-09-02,0.2625
2016-09-05,0.27
2016-09-06,0.285
2016-09-07,0.34
2016-09-08,0.385
2016-09-09,0.655
2016-09-12,0.2925
2016-09-13,0.28
2016-09-14,0.2375
2016-09-15,0.46
2016-09-16,0.75
2016-09-19,0.285
2016-09-20,0.4025
2016-09-21,0.6
2016-09-22,0.4975
2016-09-23,0.955
2016-09-26,0.37
2016-09-27,0.35
2016-09-28,0.39
2016-09-29,0.1825
2016-09-30,0.145
2016-10-03,0.075
2016-10-04,0.12
2016-10-05,0.1525
2016-10-06,0.1325
2016-10-07,0.1475
2016-10-10,0.145
2016-10-11,0.1525
2016-10-12,0.1575
2016-10-13,0.1525
2016-10-14,0.1575
2016-10-17,0.1425
2016-10-18,0.1525
2016-10-19,0.13
2016-10-20,0.1425
2016-10-21,0.1825
2016-10-24,0.1425
2016-10-25,0.165
2016-10-26,0.175
2016-10-27,0.17
2016-10-28,0.1575
2016-10-31,0.1325
2016-11-01,0.1675
2016-11-02,0.1875
2016-11-03,0.205
2016-11-04,0.215
2016-11-07,0.1875
2016-11-08,0.17
2016-11-09,0.17
2016-11-10,0.215
2016-11-11,0.1875
2016-11-14,0.1975
2016-11-15,0.195
2016-11-16,0.18
2016-11-17,0.185
2016-11-18,0.2125
2016-11-21,0.16
2016-11-22,0.175
2016-11-23,0.175
2016-11-24,0.17
2016-11-25,0.2
2016-11-28,0.175
2016-11-29,0.215
2016-11-30,0.215
2016-12-01,0.2225
2016-12-02,0.215
2016-12-05,0.1825
2016-12-06,0.17
2016-12-07,0.1925
2016-12-08,0.1825
2016-12-09,0.1925
2016-12-12,0.1975
2016-12-13,0.1825
2016-12-14,0.185
2016-12-15,0.1725
2016-12-16,0.1975
2016-12-19,0.17
2016-12-20,0.1775
2016-12-21,0.1875
2016-12-22,0.1975
2016-12-23,0.1725
2016-12-26,0.18
2016-12-27,0.1825
2016-12-28,0.18
2016-12-29,0.195
2016-12-30,0.215
2017-01-02,0.1875
2017-01-03,0.1975
2017-01-04,0.2025
2017-01-05,0.1925
2017-01-06,0.18
2017-01-09,0.185
2017-01-10,0.195
2017-01-11,0.195
2017-01-12,0.185
2017-01-13,0.175
2017-01-16,0.0925
2017-01-17,0.155
2017-01-18,0.1825
2017-01-19,0.175
2017-01-20,0.16
2017-01-23,0.18
2017-01-24,0.185
2017-01-25,0.175
2017-01-26,0.18
2017-01-27,0.1825
2017-01-30,0.1725
2017-01-31,0.1775
2017-02-01,0.18
2017-02-02,0.1725
2017-02-03,0.19
2017-02-06,0.1
2017-02-07,0.17
2017-02-08,0.16
2017-02-09,0.17
2017-02-10,0.1975
2017-02-13,0.17
2017-02-14,0.1725
2017-02-15,0.1775
2017-02-16,0.1725
2017-02-17,0.21
2017-02-20,0.1775
2017-02-21,0.1725
2017-02-22,0.1725
2017-02-23,0.17
2017-02-24,0.205
2017-02-27,0.1725
2017-02-28,0.18
2017-03-01,0.1925
2017-03-02,0.1825
2017-03-03,0.185
2017-03-06,0.1275
2017-03-07,0.1675
2017-03-08,0.1775
2017-03-09,0.1825
2017-03-10,0.195
2017-03-13,0.2
2017-03-14,0.2
2017-03-15,0.1975
2017-03-16,0.1775
2017-03-17,0.1675
2017-03-20,0.3775
2017-03-21,0.19
2017-03-22,0.19
2017-03-23,0.1925
2017-03-24,0.1825
