Date,Value
2016-01-04,4.64
2016-01-05,5.005
2016-01-06,5.01
2016-01-07,5.82
2016-01-08,5.475
2016-01-11,5.405
2016-01-12,5.525
2016-01-13,5.105
2016-01-14,5.44
2016-01-15,4.68
2016-01-18,3.82
2016-01-19,3.605
2016-01-20,3.505
2016-01-21,3.335
2016-01-22,3.52
2016-01-25,1.87
2016-01-26,1.825
2016-01-27,1.89
2016-01-28,1.92
2016-01-29,2.7975
2016-02-01,1.975
2016-02-02,1.83
2016-02-03,3.4175
2016-02-04,3.235
2016-02-05,3.1925
2016-02-15,3.12
2016-02-16,3.265
2016-02-17,3.155
2016-02-18,3.515
2016-02-19,3.815
2016-02-22,3.565
2016-02-23,3.495
2016-02-24,3.56
2016-02-25,3.375
2016-02-26,3.36
2016-02-29,3.23
2016-03-01,3.425
2016-03-02,3.55
2016-03-03,3.77
2016-03-04,3.93
2016-03-07,4.02
2016-03-08,4.13
2016-03-09,4.11
2016-03-10,4.06
2016-03-11,4.0275
2016-03-14,4.035
2016-03-15,4.115
2016-03-16,4.115
2016-03-17,4.33
2016-03-18,4.77
2016-03-21,4.515
2016-03-22,4.525
2016-03-23,4.465
2016-03-24,4.365
2016-03-25,4.42
2016-03-28,4.345
2016-03-29,4.23
2016-03-30,4.335
2016-03-31,4.15
2016-04-01,4.2775
2016-04-05,4.325
2016-04-06,4.11
2016-04-07,4.12
2016-04-08,4.305
2016-04-11,4.08
2016-04-12,4.02
2016-04-13,4.075
2016-04-14,4.135
2016-04-15,4.275
2016-04-18,4.1
2016-04-19,3.995
2016-04-20,3.825
2016-04-21,3.75
2016-04-22,3.68
2016-04-25,3.725
2016-04-26,3.815
2016-04-27,3.735
2016-04-28,3.76
2016-04-29,4.0675
2016-05-03,3.82
2016-05-04,3.73
2016-05-05,3.65
2016-05-06,3.87
2016-05-09,3.69
2016-05-10,3.685
2016-05-11,3.7
2016-05-12,3.68
2016-05-13,3.7575
2016-05-16,3.63
2016-05-17,3.58
2016-05-18,3.415
2016-05-19,3.49
2016-05-20,3.565
2016-05-23,3.57
2016-05-24,3.42
2016-05-25,3.47
2016-05-26,3.185
2016-05-27,3.6675
2016-05-30,3.15
2016-05-31,3.125
2016-06-01,3.24
2016-06-02,3.33
2016-06-03,3.38
2016-06-06,3.28
2016-06-07,3.25
2016-06-08,3.285
2016-06-13,3.375
2016-06-14,3.58
2016-06-15,3.52
2016-06-16,3.68
2016-06-17,3.8
2016-06-20,3.935
2016-06-21,4.13
2016-06-22,4.13
2016-06-23,4.2225
2016-06-24,4.16
2016-06-27,4.205
2016-06-28,3.675
2016-06-29,3.74
2016-06-30,3.565
2016-07-01,3.5075
2016-07-04,3.365
2016-07-05,3.36
2016-07-06,3.42
2016-07-07,3.465
2016-07-08,3.46
2016-07-11,3.3
2016-07-12,2.97
2016-07-13,3.15
2016-07-14,3.165
2016-07-15,3.1775
2016-07-18,3.19
2016-07-19,3.16
2016-07-20,3.435
2016-07-21,3.105
2016-07-22,3.26
2016-07-25,3.035
2016-07-26,2.995
2016-07-27,2.89
2016-07-28,3.15
2016-07-29,3.165
2016-08-01,2.96
2016-08-02,3.035
2016-08-03,2.985
2016-08-04,3.17
2016-08-05,3.1775
2016-08-08,3.095
2016-08-09,3.15
2016-08-10,3.155
2016-08-11,3.15
2016-08-12,3.17
2016-08-15,3.165
2016-08-16,3.175
2016-08-17,3.3
2016-08-18,3.28
2016-08-19,3.3075
2016-08-22,3.28
2016-08-23,3.28
2016-08-24,3.11
2016-08-25,3.105
2016-08-26,3.235
2016-08-29,3.23
2016-08-30,3.22
2016-08-31,3.125
2016-09-01,3.295
2016-09-02,3.2275
2016-09-05,3.285
2016-09-06,3.26
2016-09-07,3.28
2016-09-08,3.265
2016-09-09,3.325
2016-09-12,3.24
2016-09-13,3.3
2016-09-14,3.545
2016-09-19,3.435
2016-09-20,3.395
2016-09-21,3.44
2016-09-22,3.525
2016-09-23,3.39
2016-09-26,2.81
2016-09-27,2.7325
2016-09-28,3.17
2016-09-29,3.07
2016-09-30,3.075
2016-10-10,2.87
2016-10-11,2.915
2016-10-12,2.385
2016-10-13,2.845
2016-10-14,3.06
2016-10-17,2.735
2016-10-18,2.705
2016-10-19,2.615
2016-10-20,2.51
2016-10-21,2.735
2016-10-24,2.72
2016-10-25,2.65
2016-10-26,2.525
2016-10-27,2.51
2016-10-28,2.585
2016-10-31,2.49
2016-11-01,2.57
2016-11-02,2.36
2016-11-03,2.405
2016-11-04,2.5925
2016-11-07,3.12
2016-11-08,3.275
2016-11-09,3.315
2016-11-10,3.05
2016-11-11,3.1475
2016-11-14,3.11
2016-11-15,3.215
2016-11-16,3.245
2016-11-17,3.405
2016-11-18,3.435
2016-11-21,3.355
2016-11-22,3.31
2016-11-23,3.205
2016-11-24,3.245
2016-11-25,3.4025
2016-11-28,3.195
2016-11-29,3.065
2016-11-30,3.135
2016-12-01,3.07
2016-12-02,3.19
2016-12-05,2.98
2016-12-06,2.99
2016-12-07,2.96
2016-12-08,2.83
2016-12-09,2.93
2016-12-12,2.99
2016-12-13,2.97
2016-12-14,3.07
2016-12-15,2.95
2016-12-16,2.97
2016-12-19,3.095
2016-12-20,3.07
2016-12-21,3.0075
2016-12-22,3.0825
2016-12-23,3.14
2016-12-26,3.03
2016-12-27,2.855
2016-12-28,2.94
2016-12-29,3.17
2016-12-30,3.26
2017-01-03,3.215
2017-01-04,3.06
2017-01-05,3.37
2017-01-06,3.975
2017-01-09,3.85
2017-01-10,3.225
2017-01-11,3.185
2017-01-12,3.18
2017-01-13,3.26
2017-01-16,3.42
2017-01-17,3.595
2017-01-18,3.6925
2017-01-19,3.67
2017-01-20,3.92
2017-01-23,3.67
2017-01-24,3.495
2017-01-25,3.98
2017-01-26,3.92
2017-02-03,3.59
2017-02-06,3.305
2017-02-07,3.1625
2017-02-08,3.2325
2017-02-09,3.1425
2017-02-10,3.065
2017-02-13,3.0575
2017-02-14,3.0125
2017-02-15,2.785
2017-02-16,2.97
2017-02-17,2.7425
2017-02-20,2.79
2017-02-21,2.785
2017-02-22,2.795
2017-02-23,2.705
2017-02-24,3.1125
2017-02-27,2.74
2017-02-28,2.735
2017-03-01,2.6
2017-03-02,2.705
2017-03-03,2.685
2017-03-06,2.68
2017-03-07,2.54
2017-03-08,2.48
2017-03-09,2.545
2017-03-10,2.55
2017-03-13,2.625
2017-03-14,2.62
2017-03-15,2.665
2017-03-16,2.7
2017-03-17,2.52
2017-03-20,2.53
2017-03-21,2.535
2017-03-22,2.43
2017-03-23,2.405
2017-03-24,2.3825
2017-03-27,2.42
2017-03-28,2.43
2017-03-29,2.4425
2017-03-30,2.405
2017-03-31,2.3825
2017-04-05,2.245
2017-04-06,2.18
2017-04-07,2.1975
2017-04-10,2.29
2017-04-11,2.29
2017-04-12,2.01
2017-04-13,2.115
2017-04-14,2.065
2017-04-17,2.05
2017-04-18,2.09
2017-04-19,2.13
2017-04-20,2.205
2017-04-21,2.215
2017-04-24,2.09
2017-04-25,1.955
2017-04-26,2.05
2017-04-27,1.825
2017-04-28,1.855
2017-05-02,1.95
2017-05-03,1.92
2017-05-04,1.62
2017-05-05,1.6
2017-05-08,1.605
2017-05-09,1.705
2017-05-10,1.635
2017-05-11,1.565
2017-05-12,1.48
2017-05-15,1.385
2017-05-16,1.41
2017-05-17,1.425
2017-05-18,1.42
2017-05-19,1.265
2017-05-22,1.38
2017-05-23,1.42
2017-05-24,1.47
2017-05-25,1.4
2017-05-26,1.59
2017-05-31,1.785
2017-06-01,2.935
2017-06-02,2.79
2017-06-05,2.635
2017-06-06,2.75
2017-06-07,2.78
2017-06-08,2.895
2017-06-09,2.505
2017-06-12,2.665
2017-06-13,2.685
2017-06-14,2.455
2017-06-15,2.365
2017-06-16,2.535
2017-06-19,2.445
2017-06-20,2.365
2017-06-21,2.285
2017-06-22,2.49
2017-06-23,2.335
2017-06-26,2.365
2017-06-27,2.225
2017-06-28,2.65
2017-06-29,2.705
2017-06-30,2.93
2017-07-03,2.65
2017-07-04,2.585
2017-07-05,2.425
2017-07-06,2.365
2017-07-07,2.36
2017-07-10,2.58
2017-07-11,2.34
2017-07-12,2.29
2017-07-13,2.29
2017-07-14,2.305
2017-07-17,2.38
2017-07-18,2.325
2017-07-19,2.205
2017-07-20,2.275
2017-07-21,2.37
2017-07-24,2.28
2017-07-25,2.3
2017-07-26,2.29
2017-07-27,2.405
2017-07-28,2.34
2017-07-31,2.385
2017-08-01,2.395
2017-08-02,2.4
2017-08-03,2.385
2017-08-04,2.415
2017-08-07,2.44
2017-08-08,2.61
2017-08-09,2.455
2017-08-10,2.785
2017-08-11,2.965
2017-08-14,2.965
2017-08-15,2.945
2017-08-16,2.995
2017-08-17,2.89
2017-08-18,2.9
2017-08-21,2.78
2017-08-22,2.81
2017-08-23,2.98
2017-08-24,2.98
2017-08-25,2.935
2017-08-28,2.94
2017-08-29,3.005
2017-08-30,3.26
2017-08-31,3.235
2017-09-01,3.545
2017-09-04,3.495
2017-09-05,3.755
2017-09-06,3.79
2017-09-07,3.925
2017-09-08,4.295
2017-09-11,4.76
2017-09-12,4.975
2017-09-13,4.31
2017-09-14,4.165
2017-09-15,4.14
2017-09-18,3.865
2017-09-19,4.86
2017-09-20,5.16
2017-09-21,4.64
2017-09-22,4.5
2017-09-25,5.205
2017-09-26,5.235
2017-09-27,5.0175
2017-09-28,5.275
2017-09-29,5.25
2017-10-09,4.63
2017-10-10,4.745
2017-10-11,4.85
2017-10-12,4.98
2017-10-13,4.635
2017-10-16,4.525
2017-10-17,4.65
2017-10-18,4.65
2017-10-19,4.645
2017-10-20,4.865
2017-10-23,5.045
2017-10-24,5.11
2017-10-25,4.955
2017-10-26,4.81
2017-10-27,4.96
2017-10-30,4.855
2017-10-31,4.735
2017-11-01,4.53
2017-11-02,4.605
2017-11-03,4.65
2017-11-06,4.6
2017-11-07,4.63
2017-11-08,4.605
2017-11-09,4.55
2017-11-10,4.505
2017-11-13,4.49
2017-11-14,4.41
2017-11-15,4.44
2017-11-16,4.235
2017-11-17,4.06
2017-11-20,4.06
2017-11-21,4.04
2017-11-22,3.965
2017-11-23,4.175
2017-11-24,4.37
2017-11-27,4.265
2017-11-28,4.025
2017-11-29,4.045
2017-11-30,4.0
2017-12-01,3.89
2017-12-04,3.665
2017-12-05,3.66
2017-12-06,3.695
2017-12-07,3.66
2017-12-08,3.61
2017-12-11,3.705
2017-12-12,3.54
2017-12-13,3.435
2017-12-14,3.53
2017-12-15,3.45
2017-12-18,3.465
2017-12-19,3.465
2017-12-20,3.425
2017-12-21,3.925
2017-12-22,4.095
2017-12-25,4.105
2017-12-26,4.155
2017-12-27,4.205
2017-12-28,4.275
2017-12-29,4.09
2018-01-02,4.27
2018-01-03,4.42
2018-01-04,4.295
2018-01-05,4.17
2018-01-08,4.08
2018-01-09,4.13
2018-01-10,4.24
2018-01-11,4.13
2018-01-12,4.295
2018-01-15,4.515
2018-01-16,4.635
2018-01-17,4.58
2018-01-18,4.565
2018-01-19,4.59
2018-01-22,4.655
2018-01-23,4.705
2018-01-24,4.67
2018-01-25,4.82
2018-01-26,4.795
2018-01-29,5.175
2018-01-30,4.935
2018-01-31,5.055
2018-02-01,5.155
2018-02-02,5.37
2018-02-05,5.27
2018-02-06,5.06
2018-02-07,5.305
2018-02-08,5.635
2018-02-09,5.575
2018-02-12,5.71
2018-02-13,6.07
2018-02-14,5.68
2018-02-22,5.195
2018-02-23,5.275
2018-02-26,5.02
2018-02-27,4.935
2018-02-28,4.875
2018-03-01,4.745
2018-03-02,4.54
2018-03-05,4.425
2018-03-06,4.27
2018-03-07,4.235
2018-03-08,4.285
2018-03-09,4.205
2018-03-12,4.195
2018-03-13,4.165
2018-03-14,4.04
2018-03-15,3.84
2018-03-16,3.94
2018-03-19,3.905
2018-03-20,3.865
2018-03-21,3.92
2018-03-22,3.89
2018-03-23,3.715
2018-03-26,3.81
2018-03-27,4.225
2018-03-28,4.07
2018-03-29,4.06
2018-03-30,3.975
2018-04-02,3.96
2018-04-03,3.95
2018-04-04,3.9
2018-04-09,3.93
2018-04-10,3.755
2018-04-11,3.59
2018-04-12,3.54
2018-04-13,3.515
2018-04-16,3.44
2018-04-17,3.435
2018-04-18,3.47
2018-04-19,3.515
2018-04-20,3.44
2018-04-23,3.43
2018-04-24,3.375
2018-04-25,3.195
2018-04-26,3.375
2018-04-27,3.445
2018-05-02,3.605
2018-05-03,3.505
2018-05-04,3.43
2018-05-07,3.3
2018-05-08,3.325
2018-05-09,3.305
2018-05-10,3.31
2018-05-11,3.28
2018-05-14,3.29
2018-05-15,3.33
2018-05-16,3.38
2018-05-17,3.33
2018-05-18,3.325
2018-05-21,3.345
2018-05-22,3.345
2018-05-23,3.285
2018-05-24,3.25
2018-05-25,3.245
2018-05-28,3.215
2018-05-29,3.28
2018-05-30,3.32
2018-05-31,3.35
2018-06-01,3.36
2018-06-04,3.29
2018-06-05,3.18
2018-06-06,3.125
2018-06-07,3.105
2018-06-08,3.165
2018-06-11,3.13
2018-06-12,3.09
2018-06-13,3.22
2018-06-14,3.14
2018-06-15,3.165
2018-06-19,3.86
2018-06-20,3.895
2018-06-21,3.92
2018-06-22,4.0
2018-06-25,4.115
2018-06-26,4.225
2018-06-27,4.75
2018-06-28,5.095
2018-06-29,5.145
2018-07-02,4.98
2018-07-03,5.375
2018-07-04,5.205
2018-07-05,5.785
2018-07-06,5.375
2018-07-09,5.155
2018-07-10,4.9
2018-07-11,5.43
2018-07-12,6.23
2018-07-13,6.11
2018-07-16,6.045
2018-07-17,5.555
2018-07-18,5.865
2018-07-19,6.11
2018-07-20,6.455
2018-07-23,6.53
2018-07-24,6.765
2018-07-25,6.62
2018-07-26,6.835
2018-07-27,6.41
2018-07-30,6.985
2018-07-31,6.84
2018-08-01,7.0
2018-08-02,6.63
2018-08-03,7.095
2018-08-06,6.965
2018-08-07,6.87
2018-08-08,6.73
2018-08-09,6.72
2018-08-10,7.065
2018-08-13,7.01
2018-08-14,6.785
2018-08-15,6.955
2018-08-16,7.235
2018-08-17,6.8
2018-08-20,6.935
2018-08-21,6.885
2018-08-22,6.51
2018-08-23,6.52
2018-08-24,6.625
2018-08-27,6.89
2018-08-28,6.405
2018-08-29,6.245
2018-08-30,6.055
2018-08-31,6.175
2018-09-03,6.225
2018-09-04,5.89
2018-09-05,6.005
2018-09-06,5.85
2018-09-07,5.81
2018-09-10,5.845
2018-09-11,5.925
2018-09-12,5.925
2018-09-13,5.79
2018-09-14,5.53
2018-09-17,5.505
2018-09-18,5.25
2018-09-19,4.945
2018-09-20,4.54
2018-09-21,4.51
2018-09-25,4.45
2018-09-26,4.5
2018-09-27,4.235
2018-09-28,4.01
2018-10-08,4.65
2018-10-09,4.945
2018-10-10,4.81
2018-10-11,4.905
2018-10-12,4.83
2018-10-15,4.515
2018-10-16,4.46
2018-10-17,4.525
2018-10-18,4.205
2018-10-19,4.28
2018-10-22,4.065
2018-10-23,4.075
2018-10-24,4.015
2018-10-25,4.035
2018-10-26,4.23
2018-10-29,4.21
2018-10-30,4.4
2018-10-31,4.535
2018-11-01,4.49
2018-11-02,4.995
2018-11-05,5.28
2018-11-06,5.18
2018-11-07,5.235
2018-11-08,5.13
2018-11-09,4.955
2018-11-12,4.715
2018-11-13,4.605
2018-11-14,4.58
2018-11-15,4.535
2018-11-16,4.46
2018-11-19,4.385
2018-11-20,4.47
2018-11-21,4.535
2018-11-22,4.525
2018-11-23,4.37
2018-11-26,4.895
2018-11-27,5.005
2018-11-28,5.2
2018-11-29,5.34
2018-11-30,5.715
2018-12-03,5.145
2018-12-04,5.46
2018-12-05,5.615
2018-12-06,5.58
2018-12-07,4.975
2018-12-10,4.99
2018-12-11,5.12
2018-12-12,5.075
2018-12-13,5.15
2018-12-14,5.14
2018-12-17,4.97
2018-12-18,5.01
2018-12-19,4.8
2018-12-20,4.675
2018-12-21,4.67
2018-12-24,4.63
2018-12-25,4.64
2018-12-26,4.48
2018-12-27,4.435
2018-12-28,4.695
2019-01-02,4.71
2019-01-03,4.62
2019-01-04,4.345
2019-01-07,4.155
2019-01-08,4.0
2019-01-09,4.035
2019-01-10,5.07
2019-01-11,5.75
2019-01-14,5.7
2019-01-15,5.74
2019-01-16,5.6
2019-01-17,5.17
2019-01-18,4.835
2019-01-21,4.625
2019-01-22,4.675
2019-01-23,4.63
2019-01-24,4.6725
2019-01-25,4.77
2019-01-28,4.885
2019-01-29,4.875
2019-01-30,4.965
2019-01-31,4.855
2019-02-01,4.945
2019-02-11,4.79
2019-02-12,4.74
2019-02-13,4.765
2019-02-14,4.71
2019-02-15,4.605
2019-02-18,4.595
2019-02-19,4.275
2019-02-20,4.58
2019-02-21,4.77
2019-02-22,4.72
2019-02-25,4.705
2019-02-26,4.675
2019-02-27,4.58
2019-02-28,4.45
2019-03-01,4.38
2019-03-04,4.225
2019-03-05,4.165
2019-03-06,3.915
2019-03-07,3.9
2019-03-08,3.96
2019-03-11,3.715
2019-03-12,3.695
2019-03-13,3.57
2019-03-14,3.64
